ID da Usina;Número do Corte;Coeficiente de Volume;Coeficiente de Turbinamento;Coeficiente de Vertimento;Termo Independente
1.0;1.0;-0.0;0.2261897470741599;0.0008774303044032082;0.0
1.0;2.0;0.05650252520686369;0.10835986984474016;-0.0050824310095764985;-6.780303024823644
1.0;3.0;0.0371676052779386;0.12353868548987759;-0.0005287863160352664;-4.4601126333526215
1.0;4.0;0.025714665753184464;0.14544089012958064;0.0008774303044032082;-3.0857598903821377
1.0;5.0;0.030708023566155013;0.13368083247660323;0.00048542838263729933;-3.6849628279385946
2.0;1.0;-0.0;0.246475024850126;-0.007082913697370173;0.0
2.0;2.0;-0.0;0.23945987956962075;-0.006556777801332279;0.4226625031504405
2.0;3.0;-0.0;0.22788417597462116;-0.006113359226658721;2.143768304582066
2.0;4.0;-0.0;0.23329884017767794;-0.006248725831735136;1.165067749879546
4.0;1.0;-0.0;0.35607775432346506;4.960158713857593e-18;0.0
6.0;1.0;0.014322229617194707;0.6961209984538498;-0.0735351567403985;-82.10934239537734
6.0;2.0;0.009883873124662787;0.7268352962372313;-0.0715325371341469;-56.664244623691474
6.0;3.0;0.011753685657812922;0.7108031436559337;-0.07206694222019015;-67.38387987624161
6.0;4.0;-0.0;0.847404661959165;-0.07228996217995783;-3.702605197820846e-14
6.0;5.0;0.00012297422714136662;0.841781163237537;-0.07186819977583574;-0.7050112442014858
6.0;6.0;0.000593485436474318;0.8330455252063819;-0.07153253713414687;-3.4024520073071005
6.0;7.0;0.00032813327518737775;0.8370902956011382;-0.07163365639401578;-1.8811880666491716
6.0;8.0;0.02009685125890031;0.6728318523973496;-0.0784864346689466;-104.99720950749726
6.0;9.0;0.01974304837718442;0.6768766227921054;-0.07818307688933988;-107.53742574749687
6.0;10.0;0.01744672145930396;0.6871909891501323;-0.07621415953151381;-100.02205412618967
6.0;11.0;0.018922412185000282;0.6815674904285045;-0.07747944674388;-106.36494178791378
7.0;1.0;0.04613712694932975;0.2804473250757164;-0.010194363645795946;-71.05117550196786
7.0;2.0;-0.0;0.384550549371233;-0.011536854520840979;0.0
7.0;3.0;0.001159844294763412;0.3754322766136591;-0.010852984064022934;-1.7861602139356691
7.0;4.0;0.0067021213758771975;0.3579532322562442;-0.010194363645795946;-10.321266918850903
7.0;5.0;0.0034152967861148806;0.36656650424199444;-0.010409695445439699;-5.259557050616941
7.0;6.0;0.05671261427157902;0.26474247828441894;-0.010930351375670267;-84.43781524132312
7.0;7.0;0.052309279315426;0.27051204714730287;-0.010497633710953976;-79.49140230724458
7.0;8.0;0.05060545877380767;0.273860751041993;-0.010413916113586715;-77.93240651166383
7.0;9.0;0.059549664983397047;0.25916651383509104;-0.011209149598136658;-85.26055994775037
7.0;10.0;0.0672798063115166;0.24726343392700395;-0.012348616185418446;-86.85559828004232
7.0;11.0;0.06289737352516665;0.2558767059127546;-0.011702620786487133;-88.32371326346959
8.0;1.0;-0.0;0.5702814364854795;-0.010581865454626811;-3.265302123867566e-14
8.0;2.0;0.025466941281180246;0.5607998574066032;-0.00987074702371109;-31.706341895069446
8.0;3.0;0.13517446511122408;0.5443040489790387;-0.009242294465715476;-168.29220906347402
8.0;4.0;0.07189228652335491;0.5521575635143428;-0.009438632329098074;-89.50589672157706
8.0;5.0;0.23740411326543193;0.5347887867958245;-0.009242294465715489;-295.56812101546274
8.0;6.0;0.31380493710897317;0.5253072077169482;-0.009242294465715476;-386.15021111142937
8.0;7.0;0.36023028235114735;0.5166649138246876;-0.009242294465715476;-435.6790906830428
8.0;8.0;0.3773954250030372;0.5102741715813559;-0.009242294465715466;-447.87578279434314
8.0;9.0;0.3884105472446117;0.5088113992893837;-0.009308250969666775;-459.4898003599772
8.0;10.0;0.3820959702710609;0.5093991432224234;-0.00926417017468879;-452.471858443785
9.0;1.0;-0.0;0.4238222392886588;-0.017128705384870574;1.5403622447213632e-14
9.0;2.0;0.024619444400436126;0.4155852504557992;-0.016510931222406107;-8.862999984157
