NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
123 FUNIL          1    09      F                 102
123 FUNIL          1    10      F                  92
129 SIMPLICIO      1    09      F                  74
129 SIMPLICIO      1    10      F                  70
 20 BATALHA        1    09      F                  17
 20 BATALHA        1    10      F                  16
287 STO ANTONIO    1    09      F                1005
287 STO ANTONIO    1    10      F                1039
257 PEIXE ANGIC    1    09      F                 188
257 PEIXE ANGIC    1    10      F                 168
122 SANTA BRANCA   1    09      F                   9
122 SANTA BRANCA   1    10      F                   8
124 LAJES          1    09      F                   4
130 ILHA POMBOS    1    09      F                  30
130 ILHA POMBOS    1    10      F                  29
185 BARRA BRAUNA   1    09      F                  67
185 BARRA BRAUNA   1    10      F                  61
131 NILO PECANHA   1    09      F                   0
133 P. PASSOS      1    09      F                   0
125 STA CECILIA    1    09      F                  45
125 STA CECILIA    1    10      F                  43
180 TOCOS          1    09      F                   9
181 SANTANA        1    09      F                   4
182 VIGARIO        1    09      F                   0
147 FONTES AB      1    09      F                   0
146 FONTES C       1    09      F                   0
107 EDGARD SOUZA   1    09      F                  38
107 EDGARD SOUZA   1    10      F                  44
108 TRAICAO        1    09      F                   0
109 PEDREIRA       1    09      F                   0
117 GUARAPIRANGA   1    09      F                   7
117 GUARAPIRANGA   1    10      F                   8
118 BILLINGS       1    09      F                   9
118 BILLINGS       1    10      F                  10
119 HENRY BORDEN   1    09      F                   0
 32 CACH.DOURADA   1    09      F                  32
 32 CACH.DOURADA   1    10      F                  30
 11 VOLTA GRANDE   1    09      F                  37
 11 VOLTA GRANDE   1    10      F                  35
135 P. ESTRELA     1    09      F                   0
139 CANDONGA       1    09      F                  88
139 CANDONGA       1    10      F                  82
262 SALTO          1    09      F                  82
262 SALTO          1    10      F                  78
 88 SAO ROQUE      1    09      F                1108
 88 SAO ROQUE      1    10      F                 964
 89 GARIBALDI      1    09      F                 245
 89 GARIBALDI      1    10      F                 213
144 MASCARENHAS    1    09      F                  80
144 MASCARENHAS    1    10      F                  74
 66 ITAIPU         1    09      F                6699
 66 ITAIPU         1    10      F                5660
110 ERNESTINA      1    09      F                  48
110 ERNESTINA      1    10      F                  75
111 PASSO REAL     1    09      F                 406
111 PASSO REAL     1    10      F                 412
112 JACUI          1    09      F                   1
113 ITAUBA         1    09      F                  20
113 ITAUBA         1    10      F                  29
114 D. FRANCISCA   1    09      F                  23
114 D. FRANCISCA   1    10      F                  32
 74 G.B. MUNHOZ    1    09      F                3726
 74 G.B. MUNHOZ    1    10      F                3440
 76 SEGREDO        1    09      F                 352
 76 SEGREDO        1    10      F                 363
 82 SALTO CAXIAS   1    09      F                 968
 82 SALTO CAXIAS   1    10      F                 920
 83 BAIXO IGUACU   1    09      F                 387
 83 BAIXO IGUACU   1    10      F                 368
115 G.P. SOUZA     1    09      F                  33
115 G.P. SOUZA     1    10      F                  37
 73 JORDAO         1    09      F                  69
 73 JORDAO         1    10      F                  71
 71 STA CLARA PR   1    09      F                 422
 71 STA CLARA PR   1    10      F                 370
 72 FUNDAO         1    09      F                  17
 72 FUNDAO         1    10      F                  18
 57 MAUA           1    09      F                1553
 57 MAUA           1    10      F                1473
 77 SLT.SANTIAGO   1    09      F                 389
 77 SLT.SANTIAGO   1    10      F                 370
 78 SALTO OSORIO   1    09      F                 154
 78 SALTO OSORIO   1    10      F                 146
 93 PASSO FUNDO    1    09      F                 176
 93 PASSO FUNDO    1    10      F                 179
 91 MACHADINHO     1    09      F                 170
 91 MACHADINHO     1    10      F                 140
 92 ITA            1    09      F                 550
 92 ITA            1    10      F                 515
252 CANA BRAVA     1    09      F                  24
252 CANA BRAVA     1    10      F                  22
253 SAO SALVADOR   1    09      F                  24
253 SAO SALVADOR   1    10      F                  21
267 ESTREITO TOC   1    09      F                2236
267 ESTREITO TOC   1    10      F                2445
281 PONTE PEDRA    1    09      F                  60
  9 JAGUARA        1    09      F                   6
 26 MIRANDA        1    09      F                   4
 86 BARRA GRANDE   1    09      F                 353
 86 BARRA GRANDE   1    10      F                 336
 90 CAMPOS NOVOS   1    09      F                 134
 90 CAMPOS NOVOS   1    10      F                 116
 97 CASTRO ALVES   1    09      F                 117
 97 CASTRO ALVES   1    10      F                 124
 98 MONTE CLARO    1    09      F                 135
 98 MONTE CLARO    1    10      F                 118
 99 14 DE JULHO    1    09      F                  17
 99 14 DE JULHO    1    10      F                  15
103 FOZ CHAPECO    1    09      F                 380
103 FOZ CHAPECO    1    10      F                 323
169 SOBRADINHO     3    09      F                1364
169 SOBRADINHO     3    10      F                1423
172 ITAPARICA      1    09      F                   0
173 MOXOTO         1    09      F                   0
174 P.AFONSO 123   1    09      F                   0
175 P.AFONSO 4     1    09      F                   0
