&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT   241   34  H    08 00 0  F                  93
DEFANT   249   50  H    08 00 0  F                 297
DEFANT   251  252  H    08 00 0  F                 694
DEFANT   252  253  H    08 00 0  F                 680
DEFANT   253  257  H    08 00 0  F                 687
DEFANT   257  261  H    07 00 0  F                 889
DEFANT   257  261  H    08 00 0  F                 992
DEFANT   261  267  H    06 00 0  F                 810
DEFANT   261  267  H    07 00 0  F                 826
DEFANT   261  267  H    08 00 0  F                1020
DEFANT   262  241  H    08 00 0  F                  79
DEFANT   267  275  H    06 00 0  F                1347
DEFANT   267  275  H    07 00 0  F                1455
DEFANT   267  275  H    08 00 0  F                2023
DEFANT   280  284  H    08 00 0  F                 152
DEFANT   285  287  H    08 00 0  F                5617
DEFANT   290   34  H    08 00 0  F                  51
DEFANT   311  312  H    08 00 0  F                  49
DEFANT   312  315  H    08 00 0  F                  51
DEFANT   315   34  H    08 00 0  F                  79
DEFANT    66    1  S    08  0 0  F               16893
DEFANT    66    1  S    08  0 1  F               16749
DEFANT    66    1  S    08  1 0  F               16570
DEFANT    66    1  S    08  1 1  F               16571
DEFANT    66    1  S    08  2 0  F               16374
DEFANT    66    1  S    08  2 1  F               16278
DEFANT    66    1  S    08  3 0  F               16278
DEFANT    66    1  S    08  3 1  F               16229
DEFANT    66    1  S    08  4 0  F               16238
DEFANT    66    1  S    08  4 1  F               16329
DEFANT    66    1  S    08  5 0  F               16588
DEFANT    66    1  S    08  5 1  F               16589
DEFANT    66    1  S    08  6 0  F               16270
DEFANT    66    1  S    08  6 1  F               16268
DEFANT    66    1  S    08  7 0  F               16312
DEFANT    66    1  S    08  7 1  F               16311
DEFANT    66    1  S    08  8 0  F               16310
DEFANT    66    1  S    08  8 1  F               16310
DEFANT    66    1  S    08  9 0  F               15918
DEFANT    66    1  S    08  9 1  F               15914
DEFANT    66    1  S    08 10 0  F               16115
DEFANT    66    1  S    08 10 1  F               16115
