 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 8103.95 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
2024     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2025     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2026     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2027     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
  
2023                                                                                     3250.   4000.
2024     8000.   8000.   8000.   8000.   8000.   8000.   6608.   5604.   5617.   5624.   6625.   7627.
2025     8000.   8000.   8000.   8000.   8000.   8000.   6608.   5599.   5622.   5624.   6625.   7633.
2026     8000.   8000.   8000.   8000.   8000.   8000.   6608.   5599.   5617.   5613.   6625.   7633.
2027     8000.   8000.   8000.   8000.   8000.   8000.   6604.   5604.   5617.   5608.   6625.   7639.
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2023                                                                                    41426.  41468.
2024    43599.  43621.  43962.  41220.  39672.  39098.  38984.  39577.  41656.  42293.  41776.  41895.
2025    45067.  45774.  44829.  42613.  41011.  40418.  40302.  40921.  43063.  43720.  43183.  43309.
2026    46499.  46532.  46889.  43973.  42317.  41705.  41587.  42232.  44437.  45112.  44557.  44688.
2027    47994.  48032.  48396.  45391.  43680.  43048.  42928.  43601.  45869.  46564.  45990.  46128.
POS     47994.  48032.  48396.  45391.  43680.  43048.  42928.  43601.  45869.  46564.  45990.  46128.
   2
2023                                                                                    12150.  12440.
2024    13528.  13593.  13109.  12025.  11653.  11838.  11903.  11824.  11874.  12146.  12602.  12902.
2025    14007.  14292.  13377.  12450.  12063.  12251.  12320.  12242.  12292.  12576.  13050.  13361.
2026    14509.  14578.  14061.  12897.  12492.  12684.  12757.  12681.  12731.  13027.  13520.  13842.
2027    15048.  15120.  14583.  13377.  12953.  13149.  13226.  13152.  13202.  13511.  14025.  14358.
POS     15048.  15120.  14583.  13377.  12953.  13149.  13226.  13152.  13202.  13511.  14025.  14358.
   3
2023                                                                                    12388.  12164.
2024    12325.  12412.  12118.  11802.  11640.  11318.  11378.  11641.  12114.  12747.  12715.  12644.
2025    12782.  13068.  12391.  12239.  12070.  11736.  11799.  12074.  12566.  13220.  13187.  13113.
2026    13325.  13420.  13104.  12759.  12582.  12234.  12300.  12589.  13102.  13783.  13749.  13670.
2027    13840.  13939.  13612.  13252.  13068.  12705.  12775.  13077.  13611.  14316.  14281.  14199.
POS     13840.  13939.  13612.  13252.  13068.  12705.  12775.  13077.  13611.  14316.  14281.  14199.
   4
2023                                                                                     7390.   7194.
2024     6995.   7175.   7150.   7064.   7140.   7152.   7161.   7459.   7613.   7589.   7475.   7310.
2025     7266.   7448.   7419.   7326.   7401.   7410.   7417.   7723.   7879.   7850.   7727.   7571.
2026     7698.   7892.   7861.   7762.   7843.   7853.   7860.   8187.   8353.   8321.   8190.   8023.
2027     7918.   8119.   8087.   7985.   8068.   8079.   8087.   8424.   8596.   8562.   8426.   8254.
POS      7918.   8119.   8087.   7985.   8068.   8079.   8087.   8424.   8596.   8562.   8426.   8254.
 999
 GERACAO DE USINAS NAO SIMULADAS
 XXX  XBL  XXXXXXXXXXXXXXXXXXXX  XTE
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1    1  PCH
2023                                                                                     2117.   2606.
2024     2693.   2981.   3008.   2690.   2221.   1871.   1589.   1451.   1348.   1638.   2134.   2632.
2025     2726.   3010.   3036.   2715.   2247.   1894.   1607.   1466.   1361.   1652.   2157.   2661.
2026     2747.   3033.   3069.   2762.   2281.   1929.   1636.   1492.   1384.   1677.   2186.   2691.
2027     2802.   3093.   3120.   2791.   2307.   1948.   1650.   1506.   1396.   1691.   2206.   2715.
   1    2  PCT
2023                                                                                     2871.   1415.
2024      880.    937.   1342.   2910.   4052.   4435.   4660.   4513.   4257.   3901.   3050.   1496.
2025      924.    983.   1418.   3106.   4376.   4767.   5009.   4809.   4530.   4022.   3148.   1535.
2026      947.   1004.   1442.   3149.   4394.   4775.   5036.   4835.   4558.   4049.   3170.   1547.
