NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 236 GTMIN 00420.84  1 2024  3 2024
 236 IPTER   100.00  4 2024  6 2024  
 236 IPTER     0.00  7 2024 12 2024  
 236 GTMIN 00420.84 11 2024  4 2025
 236 GTMIN 00420.84 11 2025  4 2026
 236 GTMIN 00420.84 11 2026  4 2027
 236 GTMIN 00420.84 11 2027 12 2027
 110 POTEF   572.10 11 2023          N.PIRATINING
 110 FCMAX    97.88 11 2023 12 2023  
 110 TEIFT     0.00 11 2023 12 2023  
 110 FCMAX    97.00  1 2024 12 2024  
 110 IPTER     0.00  1 2024  9 2024  
 110 IPTER    18.78 10 2024 10 2024  
 110 IPTER    19.33 11 2024 11 2024  
 110 IPTER     0.00 12 2024 12 2024  
 110 FCMAX    65.51  1 2025          
 171 POTEF   400.00 11 2023          NORTEFLU-1
 171 FCMAX   100.00 11 2023          
 171 TEIFT     0.00 11 2023 12 2023  
 171 GTMIN   387.10 12 2023 12 2023
 171 GTMIN 00399.99  1 2024 12 2027
 172 POTEF   100.00 11 2023          NORTEFLU-2
 172 FCMAX   100.00 11 2023          
 172 TEIFT     0.00 11 2023 12 2023  
 173 POTEF   200.00 11 2023          NORTEFLU-3
 173 FCMAX   100.00 11 2023          
 173 TEIFT     0.00 11 2023 12 2023  
 174 POTEF   126.78 11 2023          NORTEFLU-4
 174 FCMAX    99.38 11 2023 12 2023  
 174 TEIFT     0.00 11 2023 12 2023  
 174 FCMAX   100.00  1 2024          
 229 POTEF    50.00 11 2023          ONCA PINTADA
 229 FCMAX   100.00 11 2023 12 2023  
 229 TEIFT     0.00 11 2023 12 2023  
 229 FCMAX    95.00  1 2024          
 229 IPTER     0.00  1 2024  1 2024  
 229 IPTER    13.79  2 2024  2 2024  
 229 IPTER     0.00  3 2024 12 2024  
 229 GTMIN 00027.44  3 2024  5 2024
 229 GTMIN 00027.44  3 2025  5 2025
 229 GTMIN 00027.44  3 2026  5 2026
 229 GTMIN 00027.44  5 2027  7 2027
 182 POTEF   175.56 11 2023          PALMEIRAS GO
 182 FCMAX    11.39 11 2023 12 2023  
 182 TEIFT     0.00 11 2023 12 2023  
 182 FCMAX    80.00  1 2024 12 2025  
 182 FCMAX     0.00  1 2026          
 248 POTEF    15.95 11 2023 12 2025  PAULINIA VER
 248 FCMAX    98.43 11 2023 12 2023  
 248 TEIFT     0.00 11 2023 12 2023  
 248 GTMIN 00015.69 11 2023 12 2023
 248 FCMAX    98.68  1 2024 12 2025  
 248 GTMIN 00015.50  1 2024 12 2025
  50 POTEF   200.00 11 2023          PIRAT.12 G
  50 FCMAX     0.00 11 2023          
 249 POTEF   115.92 11 2023 12 2025  PORSUD I
 249 TEIFT     0.00 11 2023 12 2023  
 249 IPTER     0.00  1 2024  9 2024  
 249 GTMIN 00101.14  7 2024  9 2024
 249 IPTER     1.61 10 2024 10 2024  
 249 IPTER     0.56 11 2024 11 2024  
 249 IPTER     1.08 12 2024 12 2024  
 249 GTMIN 00101.14  7 2025  9 2025
 250 POTEF    78.32 11 2023 12 2025  PORSUD II
 250 FCMAX    97.04 11 2023 12 2023  
 250 TEIFT     0.00 11 2023 12 2023  
 250 FCMAX    97.25  1 2024 12 2025  
 250 GTMIN 00066.87  7 2024  9 2024
 250 GTMIN 00066.87  7 2025  9 2025
 251 POTEF    74.96 11 2023 12 2025  POVOACAO 1
 251 FCMAX    99.88 11 2023 11 2023  
 251 TEIFT     0.00 11 2023 12 2023  
 251 FCMAX   100.00 12 2023 12 2025  
 251 GTMIN 00071.98  1 2024 12 2025
  62 POTEF   360.00 11 2023          SEROPEDICA
  62 TEIFT     0.00 11 2023 12 2023  
   4 POTEF   436.00 11 2023          ST.CRUZ 34
   4 FCMAX     0.00 11 2023          
  86 POTEF   500.00 11 2023          ST.CRUZ NOVA
  86 TEIFT     0.00 11 2023  2 2024  
  86 IPTER     0.00  1 2024  2 2024  
 146 POTEF    41.40 11 2023          STA VITORIA
 146 FCMAX   100.00 11 2023 12 2023  
 146 TEIFT     0.00 11 2023 12 2023  
 146 GTMIN    13.33 11 2023 11 2023
 146 FCMAX    93.00  1 2024          
 146 IPTER   100.00  1 2024  2 2024  
 146 IPTER     0.00  3 2024 12 2024  
 146 GTMIN 00013.00  3 2024 12 2027
 194 POTEF   349.00 11 2023          T. NORTE 2
 194 FCMAX     0.00 11 2023          
  90 POTEF   928.70 11 2023  6 2026  TERMOMACAE
  90 FCMAX    96.91 11 2023 12 2023  
  90 TEIFT     0.00 11 2023 12 2023  
  90 FCMAX    99.99  1 2024  6 2026  
  90 IPTER     7.83  1 2026  6 2026  
  90 POTEF   922.62  7 2026          TERMOMACAE
  90 FCMAX   100.00  7 2026          
  90 IPTER     3.40  7 2026          
  90 TEIFT     9.30  7 2026          
  47 POTEF   989.20 11 2023  6 2026  TERMORIO
  47 FCMAX    99.98 11 2023 12 2023  
  47 TEIFT     0.00 11 2023 12 2023  
  47 FCMAX   100.00  1 2024  6 2026  
  47 GTMIN 00100.50  1 2024 12 2024
  47 IPTER     5.44  1 2026  6 2026  
  47 POTEF  1058.30  7 2026          TERMORIO
  47 FCMAX    93.47  7 2026          
  47 IPTER     5.20  7 2026          
  47 TEIFT     6.00  7 2026          
  68 POTEF   350.00 11 2023          TRES LAGOAS
  68 FCMAX    96.13 11 2023 11 2023  
  68 TEIFT     0.00 11 2023 12 2023  
  68 FCMAX    96.33 12 2023 12 2023  
  68 FCMAX   100.00  1 2024          
  49 POTEF   174.60 11 2023          VIANA
  49 FCMAX   100.00 11 2023          
  49 TEIFT     0.00 11 2023 12 2023  
 253 POTEF    37.48 11 2023 12 2025  VIANA 1
 253 TEIFT     0.00 11 2023 12 2023  
 253 GTMIN 00035.99  1 2024 12 2025
 334 POTEF   177.12 11 2023          W. ARJONA
 334 FCMAX     0.00 11 2023  6 2026  
 334 FCMAX   100.00  7 2026          
 334 IPTER     3.49  7 2026          
 334 TEIFT     2.50  7 2026          
 108 POTEF    53.58 11 2023          XAVANTES
 108 FCMAX    99.86 11 2023 12 2023  
 108 TEIFT     0.00 11 2023 12 2023  
 108 FCMAX    99.99  1 2024          
  48 POTEF   484.15 11 2023          ARAUCARIA
  48 FCMAX     0.00 11 2023          
 254 POTEF    10.32 11 2023 12 2025  B. BONITA I
 254 FCMAX    91.01 11 2023 12 2023  
 254 TEIFT     0.00 11 2023 12 2023  
 254 GTMIN 00003.70 11 2023 12 2025
 254 FCMAX   100.00  1 2024 12 2025  
 254 IPTER     0.00  1 2024  3 2024  
 254 IPTER    53.33  4 2024  4 2024  
 254 IPTER     0.00  5 2024 12 2024  
 156 POTEF   350.00 11 2023          CANDIOTA 3
 156 FCMAX   100.00 11 2023          
 156 TEIFT     0.00 11 2023 12 2023  
 156 GTMIN 00320.00 11 2023 12 2023
 156 IPTER   100.00  1 2024  1 2024  
 156 IPTER    55.17  2 2024  2 2024  
 156 GTMIN   126.84  2 2024  2 2024
 156 IPTER     0.00  3 2024 12 2024  
 156 GTMIN 00210.00  3 2024 12 2027
  64 POTEF   248.57 11 2023          CANOAS
  64 FCMAX    81.78 11 2023 11 2023  
  64 TEIFT     0.00 11 2023 12 2023  
  64 FCMAX    97.80 12 2023 12 2023  
  64 FCMAX   100.00  1 2024          
 169 POTEF     4.00 11 2023          CISFRAMA
 169 FCMAX    75.00 11 2023 12 2023  
 169 TEIFT     0.00 11 2023 12 2023  
 169 GTMIN 00002.00 11 2023 12 2023
 169 FCMAX    90.00  1 2024          
 169 GTMIN 00001.70  1 2024 12 2027
  28 POTEF    20.00 11 2023          FIGUEIRA
  28 FCMAX    18.70 11 2023 11 2023  
  28 TEIFT     0.00 11 2023 12 2023  
  28 GTMIN     3.38 11 2023 11 2023
  28 FCMAX    99.80 12 2023 12 2023  
  28 GTMIN    17.96 12 2023 12 2023
  28 FCMAX    90.00  1 2024          
  28 GTMIN 00016.16  1 2024 12 2027
  26 POTEF   100.00 11 2023          J.LACERDA A1
  26 FCMAX    80.00 11 2023          
  26 TEIFT     0.00 11 2023 12 2023  
  26 IPTER     0.00  1 2024  5 2024  
  26 IPTER    48.33  6 2024  6 2024  
  26 GTMIN    35.20  6 2024  6 2024
  26 IPTER    33.87  7 2024  7 2024  
  26 GTMIN    45.05  7 2024  7 2024
  26 IPTER     0.00  8 2024 12 2024  
  26 GTMIN 00068.13  8 2024 12 2024
  26 GTMIN 00050.01  6 2025 12 2025
  26 GTMIN 00050.01  6 2026 12 2026
  26 GTMIN 00050.01  6 2027 12 2027
  27 POTEF   132.00 11 2023          J.LACERDA A2
  27 FCMAX    83.33 11 2023          
  27 TEIFT     0.00 11 2023 12 2023  
  27 GTMIN    10.00 11 2023 11 2023
  27 GTMIN 00079.04  6 2024 12 2024
  27 GTMIN 00079.04  6 2025 12 2025
  27 GTMIN 00079.04  6 2026 12 2026
  27 GTMIN 00079.04  6 2027 12 2027
  25 POTEF   262.00 11 2023          J.LACERDA B
  25 FCMAX    39.65 11 2023 11 2023  
  25 TEIFT     0.00 11 2023 12 2023  
  25 GTMIN     4.88 11 2023 11 2023
  25 FCMAX    82.61 12 2023 12 2023  
  25 FCMAX    83.97  1 2024          
  25 IPTER     0.00  1 2024  8 2024  
  25 GTMIN 00199.44  6 2024  8 2024
  25 IPTER    50.00  9 2024 10 2024  
  25 GTMIN 00099.71  9 2024 10 2024
  25 IPTER    48.33 11 2024 11 2024  
  25 GTMIN   103.04 11 2024 11 2024
  25 IPTER     0.00 12 2024 12 2024  
  25 GTMIN   199.44 12 2024 12 2024
  25 GTMIN 00168.72  6 2025 12 2025
  25 GTMIN 00168.72  6 2026 12 2026
  25 GTMIN 00168.72  6 2027 12 2027
  24 POTEF   363.00 11 2023          J.LACERDA C
  24 FCMAX    90.91 11 2023          
  24 TEIFT     0.00 11 2023 12 2023  
  24 GTMIN    32.00 11 2023 11 2023
  24 GTMIN   256.00  1 2024  1 2024
  24 GTMIN 00259.36  6 2024 12 2024
  24 GTMIN   256.00  1 2025  1 2025
  24 GTMIN 00259.36  6 2025 12 2025
  24 GTMIN   256.00  1 2026  1 2026
  24 GTMIN 00259.36  6 2026 12 2026
  24 GTMIN   256.00  1 2027  1 2027
  24 GTMIN 00259.36  6 2027 12 2027
 107 POTEF   345.00 11 2023          PAMPA SUL
 107 FCMAX   100.00 11 2023          
 107 TEIFT     0.00 11 2023 12 2023  
 107 GTMIN 00300.00 11 2023 12 2023
 107 GTMIN 00170.00  1 2024 12 2027
 149 POTEF     8.00 11 2023          SAO SEPE
 149 FCMAX    87.50 11 2023 12 2023  
 149 TEIFT     0.00 11 2023 12 2023  
 149 GTMIN 00004.00 11 2023 12 2023
 149 FCMAX    90.00  1 2024          
 258 POTEF    28.02  7 2026          TROMBUDO
  35 POTEF   639.90 11 2023          URUGUAIANA
  35 FCMAX     0.00 11 2023          
 164 POTEF   147.16 11 2023          APOENA
 164 FCMAX    92.42 11 2023 12 2023  
 164 TEIFT     0.00 11 2023 12 2023  
 164 FCMAX     0.00  1 2024          
  52 POTEF   169.08 11 2023          CAMPINA GDE
